Patch,Project,Bug,Test,Seed,Test Number,Failing Tests,Time,
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,9,9,0,0.326,
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,10,9,0,0.317,
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,11,9,0,0.317,
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,12,8,0,0.304,
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,13,8,0,0.306,
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,14,8,0,0.326,
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,15,9,0,0.318,
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,16,9,0,0.318,
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,17,9,0,0.32,
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,18,8,0,0.32,
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,19,8,0,0.315,
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,20,8,0,0.307,
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,21,9,0,0.321,
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,22,9,0,0.304,
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,23,9,0,0.307,
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,24,8,0,0.322,
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,25,8,0,0.319,
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,26,8,0,0.311,
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,27,9,0,0.316,
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,28,9,0,0.32,
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,29,8,0,0.315,
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,0,60,0,3.129,
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,1,56,0,2.312,
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,2,59,0,2.366,
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,4,53,0,2.318,
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,5,54,0,2.285,
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,6,59,0,2.189,
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,7,60,0,2.761,
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,8,57,0,2.336,
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,9,61,0,2.222,
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,10,54,0,2.968,
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,11,56,0,2.317,
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,12,56,0,2.363,
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,13,57,0,2.198,
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,14,59,0,2.325,
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,15,59,0,2.17,
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,16,56,1,2.339,"1) test39(org.jfree.chart.axis.Axis_ESTest)	at org.jfree.chart.axis.Axis_ESTest.test39(Axis_ESTest.java:643)",,java.lang.AssertionError: Expecting exception: ArithmeticException^,"java.lang.AssertionError: Expecting exception: ArithmeticException	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)",
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,17,58,0,2.195,
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,18,57,0,2.242,
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,19,56,0,2.173,
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,20,62,0,2.254,
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,21,0,0,0.004,
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,22,56,0,2.341,
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,23,57,0,2.178,
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,24,58,0,2.311,
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,25,56,0,2.751,
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,26,54,0,2.2,
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,27,59,0,2.352,
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,28,57,1,2.325,"1) test47(org.jfree.chart.axis.Axis_ESTest)	at org.jfree.chart.axis.Axis_ESTest.test47(Axis_ESTest.java:791)",,,"java.lang.AssertionError	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)",
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,29,58,0,2.265,
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,0,1,1,0.004,
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,1,1,1,0.003,
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,2,1,1,0.003,
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,3,1,1,0.004,
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,4,1,1,0.003,
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,5,1,1,0.002,
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,6,1,1,0.003,
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,7,1,1,0.003,
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,8,1,1,0.003,
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,9,1,1,0.003,
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,10,1,1,0.003,
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,11,1,1,0.003,
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,12,1,1,0.003,
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,13,1,1,0.003,
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,14,1,1,0.003,
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,15,1,1,0.003,
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,16,1,1,0.002,
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,17,1,1,0.003,
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,18,1,1,0.003,
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,19,1,1,0.003,
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,20,1,1,0.003,
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,21,1,1,0.003,
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,22,1,1,0.003,
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,23,1,1,0.003,
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,24,1,1,0.004,
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,25,1,1,0.003,
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,26,1,1,0.003,
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,27,1,1,0.003,
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,28,1,1,0.003,
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,29,1,1,0.003,
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,0,1,1,0.003,
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,1,1,1,0.002,
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,2,1,1,0.004,
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,3,1,1,0.003,
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,4,1,1,0.003,
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,5,1,1,0.004,
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,6,1,1,0.003,
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,7,1,1,0.002,
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,8,1,1,0.004,
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,9,1,1,0.004,
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,10,1,1,0.003,
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,11,1,1,0.004,
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,12,1,1,0.004,
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,13,1,1,0.002,
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,14,1,1,0.003,
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,15,1,1,0.003,
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,16,1,1,0.003,
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,17,1,1,0.003,
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,18,1,1,0.003,
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,19,1,1,0.003,
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,20,1,1,0.004,
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,21,1,1,0.004,
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,22,1,1,0.003,
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,23,1,1,0.003,
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,24,1,1,0.004,
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,25,1,1,0.003,
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,26,1,1,0.003,
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,27,1,1,0.003,
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,28,1,1,0.004,
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,29,1,1,0.004,
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,0,1,1,0.003,
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,1,1,1,0.003,
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,2,1,1,0.005,
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,3,1,1,0.003,
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,4,1,1,0.003,
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,5,1,1,0.002,
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,6,1,1,0.003,
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,7,1,1,0.003,
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,8,1,1,0.003,
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,9,1,1,0.003,
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,10,1,1,0.003,
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,11,1,1,0.003,
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,13,1,1,0.003,
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,14,1,1,0.002,
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,15,1,1,0.003,
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,16,1,1,0.003,
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,17,1,1,0.003,
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,18,1,1,0.003,
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,19,1,1,0.004,
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,20,1,1,0.002,
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,21,1,1,0.003,
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,22,1,1,0.003,
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,23,1,1,0.004,
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,24,1,1,0.003,
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,25,1,1,0.002,
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,26,1,1,0.003,
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,27,1,1,0.004,
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,28,1,1,0.003,
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,29,1,1,0.004,
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,0,12,4,6.12,"1) test04(com.google.javascript.jscomp.FunctionInjector_ESTest)	at com.google.javascript.jscomp.FunctionInjector_ESTest.test04(FunctionInjector_ESTest.java:121)2) test03(com.google.javascript.jscomp.FunctionInjector_ESTest)	at com.google.javascript.jscomp.FunctionInjector_ESTest.test03(FunctionInjector_ESTest.java:104)3) test02(com.google.javascript.jscomp.FunctionInjector_ESTest)	at com.google.javascript.jscomp.FunctionInjector_ESTest.test02(FunctionInjector_ESTest.java:87)4) test01(com.google.javascript.jscomp.FunctionInjector_ESTest)	at com.google.javascript.jscomp.FunctionInjector_ESTest.test01(FunctionInjector_ESTest.java:70)",,java.lang.AssertionError: Expecting exception: IllegalArgumentException^java.lang.AssertionError: Expecting exception: IllegalArgumentException^java.lang.AssertionError: Expecting exception: IllegalArgumentException^java.lang.AssertionError: Expecting exception: IllegalArgumentException^,"java.lang.AssertionError: Expecting exception: IllegalArgumentException	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)java.lang.AssertionError: Expecting exception: IllegalArgumentException	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)java.lang.AssertionError: Expecting exception: IllegalArgumentException	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)java.lang.AssertionError: Expecting exception: IllegalArgumentException	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)",
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,1,10,0,6.001,
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,2,11,0,5.612,
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,3,10,0,5.858,
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,4,5,1,5.524,"1) test1(com.google.javascript.jscomp.FunctionInjector_ESTest)	at com.google.javascript.jscomp.FunctionInjector_ESTest.test1(FunctionInjector_ESTest.java:62)",,java.lang.AssertionError: Expecting exception: IllegalArgumentException^,"java.lang.AssertionError: Expecting exception: IllegalArgumentException	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)",
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,5,10,0,6.134,
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,6,13,0,5.688,
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,7,7,0,5.584,
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,8,11,1,5.317,"1) test06(com.google.javascript.jscomp.FunctionInjector_ESTest)	at com.google.javascript.jscomp.FunctionInjector_ESTest.test06(FunctionInjector_ESTest.java:159)",,,"org.evosuite.runtime.mock.java.lang.MockIllegalArgumentException: Multiple entries with same key: returns=NOT_IMPLEMENTED and returns=RETURN	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)",
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,9,9,0,5.182,
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,10,6,0,5.107,
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,12,10,0,5.181,
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,13,7,0,5.331,
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,14,9,0,5.398,
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,15,7,0,5.317,
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,16,10,2,5.228,"1) test3(com.google.javascript.jscomp.FunctionInjector_ESTest)	at com.google.javascript.jscomp.FunctionInjector_ESTest.test3(FunctionInjector_ESTest.java:118)2) test7(com.google.javascript.jscomp.FunctionInjector_ESTest)	at com.google.javascript.jscomp.FunctionInjector_ESTest.test7(FunctionInjector_ESTest.java:227)",,,"org.evosuite.runtime.mock.java.lang.MockIllegalArgumentException: Multiple entries with same key: author=NOT_IMPLEMENTED and author=AUTHOR	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)java.lang.NoSuchMethodError: com.google.javascript.jscomp.JSModuleGraph.dependsOn(Lcom/google/javascript/jscomp/JSModule;Lcom/google/javascript/jscomp/JSModule;)Z	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)",
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,17,6,0,5.008,
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,18,11,3,5.639,"1) test08(com.google.javascript.jscomp.FunctionInjector_ESTest)	at com.google.javascript.jscomp.FunctionInjector_ESTest.test08(FunctionInjector_ESTest.java:213)2) test05(com.google.javascript.jscomp.FunctionInjector_ESTest)	at com.google.javascript.jscomp.FunctionInjector_ESTest.test05(FunctionInjector_ESTest.java:143)3) test04(com.google.javascript.jscomp.FunctionInjector_ESTest)	at com.google.javascript.jscomp.FunctionInjector_ESTest.test04(FunctionInjector_ESTest.java:125)",,java.lang.AssertionError: Expecting exception: IllegalArgumentException^java.lang.AssertionError: Expecting exception: IllegalArgumentException^,"java.lang.NoSuchMethodError: com.google.javascript.jscomp.JSModuleGraph.dependsOn(Lcom/google/javascript/jscomp/JSModule;Lcom/google/javascript/jscomp/JSModule;)Z	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)java.lang.AssertionError: Expecting exception: IllegalArgumentException	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)java.lang.AssertionError: Expecting exception: IllegalArgumentException	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)",
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,19,9,0,6.158,
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,20,12,0,5.635,
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,21,10,2,5.927,"1) test0(com.google.javascript.jscomp.FunctionInjector_ESTest)	at com.google.javascript.jscomp.FunctionInjector_ESTest.test0(FunctionInjector_ESTest.java:50)2) test8(com.google.javascript.jscomp.FunctionInjector_ESTest)	at com.google.javascript.jscomp.FunctionInjector_ESTest.test8(FunctionInjector_ESTest.java:213)",,java.lang.AssertionError: Expecting exception: IllegalArgumentException^,"org.evosuite.runtime.mock.java.lang.MockIllegalArgumentException: Multiple entries with same key: returns=NOT_IMPLEMENTED and returns=RETURN	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)java.lang.AssertionError: Expecting exception: IllegalArgumentException	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)",
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,22,7,0,5.183,
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,23,9,0,5.304,
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,24,10,2,5.282,"1) test2(com.google.javascript.jscomp.FunctionInjector_ESTest)	at com.google.javascript.jscomp.FunctionInjector_ESTest.test2(FunctionInjector_ESTest.java:83)2) test3(com.google.javascript.jscomp.FunctionInjector_ESTest)	at com.google.javascript.jscomp.FunctionInjector_ESTest.test3(FunctionInjector_ESTest.java:97)",,,"org.evosuite.runtime.mock.java.lang.MockIllegalArgumentException: Multiple entries with same key: enum=NOT_IMPLEMENTED and enum=ENUM	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)org.evosuite.runtime.mock.java.lang.MockIllegalArgumentException: Multiple entries with same key: enum=NOT_IMPLEMENTED and enum=ENUM	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)",
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,25,13,1,5.884,"1) test09(com.google.javascript.jscomp.FunctionInjector_ESTest)	at com.google.javascript.jscomp.FunctionInjector_ESTest.test09(FunctionInjector_ESTest.java:252)",,,"org.evosuite.runtime.mock.java.lang.MockIllegalArgumentException: Multiple entries with same key: returns=NOT_IMPLEMENTED and returns=RETURN	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)",
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,26,11,1,5.318,"1) test01(com.google.javascript.jscomp.FunctionInjector_ESTest)	at com.google.javascript.jscomp.FunctionInjector_ESTest.test01(FunctionInjector_ESTest.java:75)",,java.lang.AssertionError: Expecting exception: IllegalArgumentException^,"java.lang.AssertionError: Expecting exception: IllegalArgumentException	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)",
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,27,11,2,5.53,"1) test02(com.google.javascript.jscomp.FunctionInjector_ESTest)	at com.google.javascript.jscomp.FunctionInjector_ESTest.test02(FunctionInjector_ESTest.java:91)2) test01(com.google.javascript.jscomp.FunctionInjector_ESTest)	at com.google.javascript.jscomp.FunctionInjector_ESTest.test01(FunctionInjector_ESTest.java:75)",,,"org.evosuite.runtime.mock.java.lang.MockIllegalArgumentException: Multiple entries with same key: author=NOT_IMPLEMENTED and author=AUTHOR	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)org.evosuite.runtime.mock.java.lang.MockIllegalArgumentException: Multiple entries with same key: author=NOT_IMPLEMENTED and author=AUTHOR	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)",
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,28,6,0,5.38,
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,29,9,0,5.685,
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,0,8,0,5.202,
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,1,8,0,5.184,
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,2,11,0,5.172,
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,3,4,0,5.018,
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,4,7,0,5.104,
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,5,8,0,4.801,
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,6,10,0,4.971,
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,7,6,0,4.955,
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,8,8,0,4.89,
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,9,15,0,5.119,
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,10,9,0,5.161,
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,11,9,0,5.579,
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,12,13,0,5.161,
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,13,6,0,5.053,
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,14,6,0,4.88,
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,15,10,0,4.881,
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,16,6,0,5.034,
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,17,5,0,4.898,
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,18,5,0,4.795,
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,19,7,0,5.211,
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,20,10,0,5.089,
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,21,6,0,4.88,
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,22,6,0,4.851,
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,23,12,0,5.388,
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,24,6,0,5.099,
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,25,7,0,5.214,
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,26,8,0,4.889,
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,27,13,0,5.003,
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,28,5,0,5.049,
