patch1-Math-20-Arja-plausible,Math,20,Correct
patch1-Math-28-DeepRepair,Math,28,Correct
patch1-Math-32-Elixir-plausible,Math,32,Correct
patch1-Math-33-SketchFix-plausible,Math,33,Incorrect
patch2-Math-33-SketchFix-plausible,Math,33,Incorrect
patch1-Math-63-SimFix,Math,63,
patch1-Math-71-SimFix,Math,71,
patch1-Math-63-SimFix,Math,63,
patch1-Math-71-SimFix,Math,71,
patch1-Math-63-SimFix,Math,63,
patch1-Math-71-SimFix,Math,71,
patch1-Math-63-SimFix,Math,63,
patch1-Math-93-ACS,Math,93,Correct
patch1-Math-90-ACS,Math,90,Correct
patch1-Lang-7-ACS,Lang,7,Correct
patch1-Lang-24-ACS,Lang,24,Correct
patch1-Lang-43-CapGen,Lang,43,
patch1-Math-50-SimFix,Math,50,Correct
patch3-Math-5-Jaid,Math,5,Correct
patch1-Math-2-SOFix,Math,2,Correct
patch5-Lang-51-Jaid,Lang,51,Correct
patch1-Lang-44-Nopol2015,Lang,44,Correct
patch2-Lang-33-Jaid,Lang,33,Correct
patch1-Lang-16-SimFix,Lang,16,Correct
patch1-Math-89-ACS,Math,89,Correct
patch1-Math-53-Jaid,Math,53,
patch4-Lang-51-Jaid,Lang,51,
patch1-Math-85-SequenceR,Math,85,Incorrect
patch9-Math-85-SequenceR,Math,85,Incorrect
patch3-Math-82-SequenceR,Math,82,Correct
patch5-Math-85-SequenceR,Math,85,Incorrect
patch1-Math-80-SequenceR,Math,80,Correct
patch13-Math-85-SequenceR,Math,85,Incorrect
patch3-Math-85-SequenceR,Math,85,Incorrect
patch1-Math-63-SequenceR,Math,63,Incorrect
patch14-Math-85-SequenceR,Math,85,Incorrect
patch4-Math-85-SequenceR,Math,85,Incorrect
patch1-Math-58-SequenceR,Math,58,Incorrect
patch2-Math-85-SequenceR,Math,85,Incorrect
patch15-Math-85-SequenceR,Math,85,Incorrect
patch8-Math-85-SequenceR,Math,85,Incorrect
patch7-Math-85-SequenceR,Math,85,Incorrect
patch1-Math-59-SequenceR,Math,59,Correct
patch6-Math-85-SequenceR,Math,85,Incorrect
patch12-Math-85-SequenceR,Math,85,Incorrect
patch1-Math-82-SequenceR,Math,82,Correct
patch1-Math-5-SequenceR,Math,5,Correct
patch11-Math-85-SequenceR,Math,85,Incorrect
patch10-Math-85-SequenceR,Math,85,Incorrect
patch1-Math-30-SequenceR,Math,30,Incorrect
patch2-Math-82-SequenceR,Math,82,Correct
patch17-Math-85-SequenceR,Math,85,Incorrect
patch16-Math-85-SequenceR,Math,85,Incorrect
patch1-Lang-59-SequenceR,Lang,59,Correct
patch1-Lang-6-SequenceR,Lang,6,Incorrect
patch2-Lang-6-SequenceR,Lang,6,Incorrect
patch3-Chart-1-SequenceR,Chart,1,Incorrect
patch4-Chart-1-SequenceR,Chart,1,Incorrect
patch1-Chart-1-SequenceR,Chart,1,Incorrect
patch2-Chart-1-SequenceR,Chart,1,Incorrect
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
patch1-Chart-5-Arja,Chart,5,Incorrect
patch1-Chart-24-Jaid,Chart,24,Correct
patch1-Chart-24-ssFix,Chart,24,Correct
patch1-Chart-5-Nopol2015,Chart,5,Correct
patch1-Lang-10-DeepRepair,Lang,10,
patch1-Lang-24-DeepRepair,Lang,24,Correct
patch1-Lang-22-DeepRepair,Lang,22,Incorrect
patch1-Lang-27-SimFix,Lang,27,Correct
patch1-Lang-33-Elixir,Lang,33,Correct
patch1-Lang-33-ssFix,Lang,33,Correct
patch1-Lang-35-ACS,Lang,35,
patch1-Lang-35-Arja,Lang,35,
patch1-Lang-38-Jaid,Lang,38,
patch1-Lang-39-SimFix,Lang,39,
patch1-Math-2-SOFix,Math,2,Correct
patch1-Math-32-Jaid,Math,32,
patch1-Math-50-Nopol2015,Math,50,Correct
patch1-Math-50-ssFix,Math,50,Correct
patch1-Math-5-Jaid,Math,5,Correct
patch1-Math-63-SimFix,Math,63,
patch1-Math-65-CapGen,Math,65,
patch1-Math-73-Arja,Math,73,Correct
patch1-Math-63-SimFix,Math,63,
patch1-Math-85-Jaid,Math,85,
